* Arts & Museums | Arte y Museos
Is there an audio guide? | ¿Hay una audioguía?
Who is the artist? | ¿Quién es el artista?
Is this the original? | ¿Es este el original?
Where is the Renaissance wing? | ¿Dónde está el ala del Renacimiento?
No flash photography, right? | Sin fotos con flash, ¿verdad?
What time does it close? | ¿A qué hora cierra?
Is there a student discount? | ¿Hay descuento para estudiantes?
I love the brushwork here. | Me encanta la pincelada aquí.
Where is the cloakroom? | ¿Dónde está el guardarropa?
This sculpture is magnificent. | Esta escultura es magnífica.
Where are the toilets? | ¿Dónde están los servicios?
Is there a map of the museum? | ¿Hay un mapa del museo?
What period is this from? | ¿De qué época es esto?
Is this oil on canvas? | ¿Es óleo sobre lienzo?
Where is the temporary exhibition? | ¿Dónde está la exposición temporal?
Who commissioned this work? | ¿Quién encargó esta obra?
It is a masterpiece. | Es una obra maestra.
I prefer modern art. | Prefiero el arte moderno.
Where is the gift shop? | ¿Dónde está la tienda de regalos?
Is it free on Sundays? | ¿Es gratis los domingos?
What does this symbolize? | ¿Qué simboliza esto?
It represents human nature. | Representa la naturaleza humana.
The lighting is beautiful. | La iluminación es hermosa.
Is this a reproduction? | ¿Es esta una reproducción?
Where is the Impressionist room? | ¿Dónde está la sala de los impresionistas?
I want to see the murals. | Quiero ver los murales.
Who is the curator? | ¿Quién es el conservador?
Is there a guided tour? | ¿Hay una visita guiada?
What time is the next tour? | ¿A qué hora es la próxima visita?
Is this part of the permanent collection? | ¿Es parte de la colección permanente?
It’s very abstract. | Es muy abstracto.
I don't understand this piece. | No entiendo esta pieza.
Is this a fresco? | ¿Es esto un fresco?
Look at the detail. | Mira el detalle.
Where is the prehistoric section? | ¿Dónde está la sección prehistórica?
Is the museum accessible? | ¿El museo es accesible?
Can I draw in the galleries? | ¿Puedo dibujar en las galerías?
The perspective is unique. | La perspectiva es única.
This is a landscape. | Este es un paisaje.
This is a portrait. | Este es un retrato.
This is a still life. | Esto es un bodegón.
Where is the sculpture garden? | ¿Dónde está el jardín de esculturas?
It’s a baroque style. | Es un estilo barroco.
It’s a gothic architecture. | Es una arquitectura gótica.
The colors are very vibrant. | Los colores son muy vibrantes.
The colors are muted. | Los colores son apagados.
This is surrealism. | Esto es surrealismo.
Is this wood or stone? | ¿Es esto madera o piedra?
It is carved from marble. | Está tallado en mármol.
Where is the exit? | ¿Dónde está la salida?
Is there a cafeteria? | ¿Hay una cafetería?
How much is the entry fee? | ¿Cuánto cuesta la entrada?
One adult ticket, please. | Una entrada de adulto, por favor.
Are there audio guides in English? | ¿Hay audioguías en inglés?
Where are the Dutch masters? | ¿Dónde están los maestros holandeses?
Is this a lithograph? | ¿Es esto una litografía?
It’s a very famous sketch. | Es un boceto muy famoso.
Who painted the ceiling? | ¿Quién pintó el techo?
The proportions are perfect. | Las proporciones son perfectas.
This is contemporary art. | Esto es arte contemporáneo.
It’s a bronze statue. | Es una estatua de bronce.
Where are the ancient ceramics? | ¿Dónde están las cerámicas antiguas?
Is this a private collection? | ¿Es esta una colección privada?
Can I leave my coat here? | ¿Puedo dejar mi abrigo aquí?
Is there a lift? | ¿Hay un ascensor?
Where is the ticket office? | ¿Dónde está la taquilla?
It’s a bit crowded today. | Hay un poco de gente hoy.
This room is very quiet. | Esta sala es muy silenciosa.
I like the composition. | Me gusta la composición.
Is this an engraving? | ¿Es esto un grabado?
Where is the jewelry display? | ¿Dónde está la exhibición de joyas?
This is a mosaic. | Esto es un mosaico.
It dates back to the 15th century. | Data del siglo quince.
What is the theme of the gallery? | ¿Cuál es el tema de la galería?
Are there interactive displays? | ¿Hay pantallas interactivas?
Is there Wi-Fi in the museum? | ¿Hay Wi-Fi en el museo?
I need to sit down for a moment. | Necesito sentarme un momento.
Where is the entrance? | ¿Dónde está la entrada?
This is an altar piece. | Esto es un retablo.
It’s a watercolor painting. | Es una acuarela.
The texture is interesting. | La textura es interesante.
Where is the Egyptian art? | ¿Dónde está el arte egipcio?
The mummy is over there. | La momia está por allí.
Is this gold leaf? | ¿Es esto pan de oro?
This is a tapestry. | Esto es un tapiz.
It tells a story. | Cuenta una historia.
Who is the patron of the arts? | ¿Quién es el mecenas?
The gallery is closed for renovation. | La galería está cerrada por renovación.
This is a self-portrait. | Este es un autorretrato.
He was a visionary. | Él fue un visionario.
Where are the Roman ruins? | ¿Dónde están las ruinas romanas?
Is photography allowed without flash? | ¿Se permite la fotografía sin flash?
I want to buy a catalog. | Quiero comprar un catálogo.
Where are the miniatures? | ¿Dónde están las miniaturas?
This is a triptych. | Esto es un tríptico.
The lighting is too dim. | La iluminación es demasiado tenue.
The restoration is amazing. | La restauración es increíble.
It reflects the era. | Refleja la época.
I prefer classical art. | Prefiero el arte clásico.
Thank you for the information. | Gracias por la información.
