* Travel | Viajes
Where is the airport? | ¿Dónde está el aeropuerto?
A window seat, please. | Un asiento de ventanilla, por favor.
Where is terminal B? | ¿Dónde está la terminal B?
Is the flight delayed? | ¿Está retrasado el vuelo?
I need to check this bag. | Necesito facturar esta maleta.
Where is the taxi stand? | ¿Dónde está la parada de taxis?
How many stops to the center? | ¿Cuántas paradas hasta el centro?
Is this seat taken? | ¿Está ocupado este asiento?
I have a reservation. | Tengo una reserva.
Could you wake me at 7 AM? | ¿Podría despertarme a las siete?
The AC is not working. | El aire acondicionado no funciona.
Where is the train station? | ¿Dónde está la estación de tren?
I want a round-trip ticket. | Quiero un billete de ida y vuelta.
Is there a direct bus? | ¿Hay un autobús directo?
How long is the journey? | ¿Cuánto dura el trayecto?
What platform does it leave from? | ¿De qué andén sale?
Is there a dining car? | ¿Hay un vagón restaurante?
Where is my gate? | ¿Dónde está mi puerta de embarque?
I lost my boarding pass. | He perdido mi tarjeta de embarque.
Please take me to this address. | Por favor, lléveme a esta dirección.
How much to the city center? | ¿Cuánto cuesta hasta el centro?
Stop here, please. | Pare aquí, por favor.
Keep the change. | Quédese con el cambio.
Is it far on foot? | ¿Está lejos a pie?
Turn left at the corner. | Gire a la izquierda en la esquina.
Go straight ahead. | Siga todo recto.
Where can I rent a car? | ¿Dónde puedo alquilar un coche?
Is insurance included? | ¿Está incluido el seguro?
The tank is full. | El depósito está lleno.
I need a map of the city. | Necesito un mapa de la ciudad.
Where is the nearest metro? | ¿Dónde está el metro más cercano?
I need a weekly pass. | Necesito un abono semanal.
Is this the right platform? | ¿Es este el andén correcto?
The next stop is... | La próxima parada es...
I want to change my booking. | Quiero cambiar mi reserva.
Is there a baggage storage? | ¿Hay una consigna de equipaje?
Which way is north? | ¿Hacia dónde está el norte?
I missed my connection. | He perdido mi conexión.
Is there a shuttle bus? | ¿Hay un autobús de enlace?
Where is the information desk? | ¿Dónde está el mostrador de información?
Is the water potable? | ¿Es potable el agua?
Where is the elevator? | ¿Dónde está el ascensor?
I need to buy a SIM card. | Necesito comprar una tarjeta SIM.
What is the Wi-Fi password? | ¿Cuál es la contraseña del Wi-Fi?
My luggage is missing. | Mi equipaje ha desaparecido.
Where is the lost and found? | ¿Dónde está la oficina de objetos perdidos?
Is it safe to walk here? | ¿Es seguro caminar por aquí?
I need a receipt, please. | Necesito un recibo, por favor.
Where is the restroom? | ¿Dónde está el baño?
Is the hotel nearby? | ¿Está cerca el hotel?
I would like to check in. | Me gustaría hacer el registro de entrada.
What time is breakfast? | ¿A qué hora es el desayuno?
Can I have an extra towel? | ¿Puede darme una toalla extra?
The room is too noisy. | La habitación es demasiado ruidosa.
Is there a swimming pool? | ¿Hay una piscina?
I’m checking out now. | Voy a dejar la habitación ahora.
Can you call a taxi for me? | ¿Puede pedirme un taxi?
How do I get to the beach? | ¿Cómo se va a la playa?
Is there a parking lot? | ¿Hay un aparcamiento?
What is the speed limit? | ¿Cuál es el límite de velocidad?
I have a flat tire. | Tengo un pinchazo.
Where is the gas station? | ¿Dónde está la gasolinera?
I need a mechanic. | Necesito un mecánico.
Is there a toll on this road? | ¿Hay un peaje en esta carretera?
The traffic is heavy. | Hay mucho tráfico.
I want to cancel my flight. | Quiero cancelar mi vuelo.
Are there any available seats? | ¿Hay asientos disponibles?
Is this bus going to...? | ¿Este autobús va a...?
Can I sit here? | ¿Puedo sentarme aquí?
Watch your step. | Tenga cuidado al pisar.
The train is on time. | El tren llega puntual.
The ferry leaves at noon. | El ferry sale al mediodía.
I feel seasick. | Me siento mareado.
Where is the port? | ¿Dónde está el puerto?
I need a first-class ticket. | Necesito un billete de primera clase.
Is there a discount for seniors? | ¿Hay descuento para personas mayores?
How much is a child's ticket? | ¿Cuánto cuesta un billete de niño?
Can I pay in cash? | ¿Puedo pagar en efectivo?
Where is the ticket machine? | ¿Dónde está la máquina de billetes?
The machine is broken. | La máquina está estropeada.
I need help with my bags. | Necesito ayuda con mis maletas.
Is there an aisle seat? | ¿Hay un asiento de pasillo?
The flight is overbooked. | El vuelo está sobrevendido.
We are landing now. | Estamos aterrizando ahora.
Fasten your seatbelts. | Abróchense los cinturones.
Where is passport control? | ¿Dónde está el control de pasaportes?
I am here on vacation. | Estoy aquí de vacaciones.
I am here for business. | Estoy aquí por negocios.
I have nothing to declare. | No tengo nada que declarar.
Where is the exit? | ¿Dónde está la salida?
Is there a currency exchange? | ¿Hay un cambio de moneda?
What is the exchange rate? | ¿Cuál es el tipo de cambio?
I need some small change. | Necesito algo de calderilla (cambio).
Where is the ATM? | ¿Dónde está el cajero automático?
The ATM ate my card. | El cajero se tragó mi tarjeta.
Is there a public phone? | ¿Hay un teléfono público?
Can you point it out on the map? | ¿Puede señalármelo en el mapa?
I’m looking for this hotel. | Estoy buscando este hotel.
You are going the wrong way. | Va por el camino equivocado.
Thank you for your help. | Gracias por su ayuda.
