* Socializing & Tapas | Vida Social y Tapas
Should we sit or stay at the bar? | ¿Nos sentamos o nos quedamos en la barra?
A "caña," please. | Una caña, por favor.
Do you want to share some rations? | ¿Quieres compartir unas raciones?
This round is on me. | Esta ronda invito yo.
Cheers! | ¡Salud! / ¡Chin-chín!
Is this seat taken? | ¿Está ocupado este asiento?
What is the typical drink here? | ¿Qué es lo típico que se bebe aquí?
A glass of vermouth, please. | Un vermú, por favor.
The atmosphere here is great. | Hay muy buen ambiente aquí.
Are you from around here? | ¿Eres de por aquí?
I am just visiting. | Estoy de visita.
It’s my first time in Spain. | Es mi primera vez en España.
I love this city. | Me encanta esta ciudad.
Do you recommend any other bars? | ¿Me recomiendas algún otro bar?
Let's go for another one. | Vamos a por otra.
Where is a good place to dance? | ¿Dónde hay un buen sitio para bailar?
I’m here with friends. | Estoy aquí con amigos.
What's your name? | ¿Cómo te llamas?
Nice to meet you. | Encantado / Encantada de conocerte.
Can I buy you a drink? | ¿Te puedo invitar a una copa?
No thanks, I’m fine. | No gracias, estoy bien.
Do you have a light? | ¿Tienes fuego?
It’s very loud in here. | Está muy fuerte la música aquí.
Do you want to go somewhere quieter? | ¿Quieres ir a un sitio más tranquilo?
What do you do for a living? | ¿A qué te dedicas?
I am a student. | Soy estudiante.
I am on vacation. | Estoy de vacaciones.
How do you say this in Spanish? | ¿Cómo se dice esto en español?
You speak English very well. | Hablas inglés muy bien.
I am trying to learn Spanish. | Estoy intentando aprender español.
Could you repeat that? | ¿Podrías repetirlo?
I don't understand that slang. | No entiendo esa expresión.
Is there a festival today? | ¿Hay alguna fiesta hoy?
What are we celebrating? | ¿Qué estamos celebrando?
It's a local holiday. | Es un festivo local.
The "tardeo" is very popular here. | El tardeo es muy popular aquí.
Do we need to pay now or at the end? | ¿Pagamos ahora o al final?
Put it on my tab, please. | Apúntalo a mi cuenta, por favor.
Do you have a lighter? | ¿Tienes un mechero?
Where do people hang out here? | ¿Por dónde sale la gente aquí?
I like your style. | Me gusta tu estilo.
Are you on Instagram? | ¿Tienes Instagram?
Let’s take a photo! | ¡Hagamos una foto!
Can you take a photo of us? | ¿Nos puedes hacer una foto?
This place is "cutre" (shabby) but cool. | Este sitio es cutre pero mola.
It’s a very "pijo" (fancy) place. | Es un sitio muy pijo.
What a "guay" (cool) bar! | ¡Qué bar más guay!
I’m tired, I’m going home. | Estoy cansado, me voy a casa.
It was nice talking to you. | Ha sido un placer hablar contigo.
See you later! | ¡Luego nos vemos!
A "tinto de verano," please. | Un tinto de verano, por favor.
Do you have olives? | ¿Tiene aceitunas?
Some "bravas," please. | Unas bravas, por favor.
Is the tortilla "con cebolla" or "sin"? | ¿La tortilla es con cebolla o sin?
I prefer it with onion. | La prefiero con cebolla.
This ham is incredible. | Este jamón es increíble.
Is this homemade? | ¿Esto es casero?
Give me a "pico" (breadstick). | Dame un pico.
We are "de tapeo." | Estamos de tapeo.
Let’s go on a "ruta de tapas." | Vamos de ruta de tapas.
Is there a terrace? | ¿Hay terraza?
It’s full. | Está lleno.
We can wait. | Podemos esperar.
How long is the wait? | ¿Cuánto hay que esperar?
Is there live music? | ¿Hay música en directo?
I love this song. | Me encanta esta canción.
Who is singing? | ¿Quién canta?
It’s a very famous group. | Es un grupo muy famoso.
Can I have a napkin? | ¿Me da una servilleta?
Throw the napkin on the floor. | Tira la servilleta al suelo (Note: common in old bars!).
The floor is dirty, but the food is good. | El suelo está sucio, pero la comida es buena.
I’m "a tope" (full/busy). | Estoy a tope.
Give me a "cortado." | Dame un cortado.
A "carajillo," please. | Un carajillo, por favor.
Let's make a toast. | Vamos a brindar.
To your health! | ¡Por tu salud!
You are very kind. | Eres muy amable.
Where is the main square? | ¿Dónde está la plaza mayor?
Is there a market near here? | ¿Hay un mercado cerca de aquí?
I want to buy some local cheese. | Quiero comprar queso de la zona.
What is the best dish here? | ¿Cuál es el mejor plato de aquí?
I am "flipando" (amazed/blown away). | Estoy flipando.
That’s "la leche" (awesome/crazy). | Eso es la leche.
No way! | ¡No me digas! / ¡Venga ya!
Really? | ¿De verdad? / ¿En serio?
I agree. | Estoy de acuerdo.
I don't think so. | No lo creo.
Maybe later. | Quizás más tarde.
Call me tomorrow. | Llámame mañana.
Here is my number. | Aquí tienes mi número.
I had a great time. | Me lo he pasado muy bien.
The night is young. | La noche es joven.
One last drink? | ¿La última?
The "penúltima" (the second to last). | La penúltima.
I have a hangover. | Tengo resaca.
I need a big breakfast. | Necesito un desayuno grande.
Chocolate with churros? | ¿Chocolate con churros?
Yes, please! | ¡Sí, por favor!
Spanish people are very loud. | Los españoles hablan muy fuerte.
But they are very friendly! | ¡Pero son muy amables!
