* Emergency | Emergencia
I need a doctor. | Necesito un médico.
Call an ambulance! | ¡Llame a una ambulancia!
I lost my passport. | He perdido mi pasaporte.
Where is the pharmacy? | ¿Dónde está la farmacia?
Stop! | ¡Pare! / ¡Alto!
I am lost. | Estoy perdido.
Someone stole my bag. | Alguien me robó el bolso.
I need a translator. | Necesito un traductor.
Is there a hospital nearby? | ¿Hay un hospital cerca?
It is an emergency. | Es una emergencia.
Call the police! | ¡Llame a la policía!
Where is the police station? | ¿Dónde está la comisaría?
I have been robbed. | Me han robado.
My car broke down. | Se me ha estropeado el coche.
There is a fire! | ¡Hay un incendio!
I am bleeding. | Estoy sangrando.
I think I broke my arm. | Creo que me he roto el brazo.
I feel very dizzy. | Me siento muy mareado.
I am having chest pains. | Tengo dolores en el pecho.
I can't breathe. | No puedo respirar.
I have a severe allergy. | Tengo una alergia grave.
I am diabetic. | Soy diabético.
I need my medication. | Necesito mi medicación.
Is there a 24-hour clinic? | ¿Hay una clínica de veinticuatro horas?
Where is the emergency room? | ¿Dónde está urgencias?
Help me, please! | ¡Ayúdeme, por favor!
I don't feel well. | No me siento bien.
I have a high fever. | Tengo mucha fiebre.
My child is sick. | Mi hijo está enfermo.
I lost my phone. | He perdido mi teléfono.
My wallet was stolen. | Me han robado la cartera.
I need to cancel my cards. | Necesito cancelar mis tarjetas.
Where is the consulate? | ¿Dónde está el consulado?
Where is the embassy? | ¿Dónde está la embajada?
I need a lawyer. | Necesito un abogado.
I don't understand. | No entiendo.
Please speak slowly. | Por favor, hable despacio.
Write it down, please. | Escríbalo, por favor.
I am a victim of a crime. | Soy víctima de un delito.
Stay away! | ¡Aléjese!
Leave me alone! | ¡Déjeme en paz!
I am looking for my child. | Estoy buscando a mi hijo.
What happened? | ¿Qué ha pasado?
I witnessed an accident. | He presenciado un accidente.
There are people injured. | Hay personas heridas.
The building is collapsing. | El edificio se está derrumbando.
Is the water safe to drink? | ¿Es segura el agua para beber?
I have a stomach ache. | Me duele el estómago.
I have a headache. | Tengo dolor de cabeza.
I am pregnant. | Estoy embarazada.
I am asthmatic. | Soy asmático.
I need an inhaler. | Necesito un inhalador.
I am allergic to penicillin. | Soy alérgico a la penicilina.
What is the emergency number? | ¿Cuál es el número de emergencias?
Can I use your phone? | ¿Puedo usar su teléfono?
I don't have a signal. | No tengo señal.
My battery is dead. | Mi batería está agotada.
I am trapped. | Estoy atrapado.
The door is locked. | La puerta está cerrada con llave.
I need a locksmith. | Necesito un cerrajero.
I am being followed. | Me están siguiendo.
I don't know where I am. | No sé dónde estoy.
Can you help me get back? | ¿Puede ayudarme a volver?
Is this area dangerous? | ¿Es peligrosa esta zona?
I need to report a missing person. | Necesito denunciar una desaparición.
My luggage was taken. | Se llevaron mi equipaje.
I have a prescription. | Tengo una receta.
I need antibiotics. | Necesito antibióticos.
Is it a life-threatening situation? | ¿Es una situación de vida o muerte?
Please hurry! | ¡Por favor, dese prisa!
I am in pain. | Tengo dolor.
Where is the nearest exit? | ¿Dónde está la salida más cercana?
Is there a fire extinguisher? | ¿Hay un extintor?
The alarm is sounding. | La alarma está sonando.
Don't panic. | No entre en pánico.
Follow the signs. | Siga las señales.
I lost my keys. | He perdido mis llaves.
My hotel room was burgled. | Han robado en mi habitación de hotel.
I need to make a statement. | Necesito prestar declaración.
Can I see your ID? | ¿Puedo ver su identificación?
I am a foreigner. | Soy extranjero.
I don't speak much Spanish. | No hablo mucho español.
Is there anyone here who speaks English? | ¿Hay alguien aquí que hable inglés?
Wait for the help to arrive. | Espere a que llegue la ayuda.
I have insurance. | Tengo seguro.
Here is my policy number. | Aquí está mi número de póliza.
I need a copy of the report. | Necesito una copia de la denuncia.
Everything is going to be okay. | Todo va a salir bien.
Thank you for saving me. | Gracias por salvarme.
I need to call my family. | Necesito llamar a mi familia.
Where is the nearest landline? | ¿Dónde está el teléfono fijo más cercano?
The elevator is stuck. | El ascensor está atascado.
There is a gas leak. | Hay una fuga de gas.
The power is out. | Se ha ido la luz.
It's an electrical fault. | Es un fallo eléctrico.
Watch out! | ¡Cuidado!
Get back! | ¡Atrás!
Help is on the way. | La ayuda está en camino.
